대분류코드,사업자등록번호,순번,특허명칭,IPC코드내용,출원인명,출원번호,특허명,출원날짜,CPC번호,인용수,피인용수,발명자수,청구항수
D,1348700170,1,,,,1020160035812,범용성 및 저렴한 가격으로 설치의 편의성과 정확한 발전량을 확인할 수 있는 태양광 모니터링 시스템,20160325.0,H02S50/00,0.0,0.0,5.0,16.0
F,1058700173,1,,,,1020010063388,티탄산바륨의 제조방법,20011015.0,C01G23/006,0.0,1.0,2.0,4.0
F,6208100181,1,,,,1020020029013,가축용 자화수 급수장치,20020524.0,E02B13/00,0.0,4.0,1.0,2.0
J,3898700184,1,,,,2020030026864,피씨 모니터용 에이브이 인터페이스 모듈 장치,20030821.0,G06F3/14,0.0,0.0,1.0,2.0
J,1198700189,1,,,,1020150079455,야구공의 투척각도 조절이 가능한 피칭머신,20150604.0,A63B69/40,0.0,1.0,1.0,6.0
J,3148100194,1,,,,1020180173777,스마트 컨트랙트 기반 논문 심사 시스템,20181231.0,G06Q50/205,1.0,0.0,3.0,1.0
J,3148100201,1,,,,1019990010812,가상 금고 구현 방법,19990329.0,,0.0,0.0,3.0,8.0
F,5061800202,1,,,,1020080066960,프레임에 태양전지를 장착한 조명장치,20080710.0,F21S9/037,0.0,0.0,3.0,5.0
P,2868800206,1,,,,1020200019111,개인 맞춤형 커리어 추천 방법 및 서버,20200217.0,G06Q10/063112,1.0,0.0,2.0,13.0
F,1228600209,1,,,,2019850001869,재 털 이,19850225.0,A24F19/0014,0.0,0.0,1.0,1.0
C,6228100218,1,,,,1020190021621,무선 이동통신 모듈이 내장된 보청기를 이용한 원격 청력 검사 피팅시스템,20190225.0,A61B5/12,2.0,0.0,1.0,3.0
F,8148800219,1,,,,1020070068354,다관 열교환부형 급탕 열교환기를 구비한 고압 냉매시스템,20070706.0,F28D7/10,0.0,0.0,4.0,6.0
G,1248700220,1,,,,2019990024202,삼파장전구의 상하부 베이스 결합구조,19991106.0,F21V19/006,0.0,0.0,1.0,1.0
J,1208700223,1,,,,7802357,설폰아미드류의 제조방법,19780731.0,C07D239/47,0.0,0.0,1.0,1.0
J,2298100229,1,,,,1020070034471,지로 자동처리기용 지로용지 자동수납장치,20070408.0,B65H29/14,0.0,0.0,1.0,8.0
F,1198600231,1,,,,1020130079456,악취제거용 크린룸,20130708.0,B65F1/1426,0.0,0.0,1.0,4.0
