사업자등록번호,조사년도,매출액,영업이익,당기순이익
2118700067,2019.0,36996098.0,1057654.0,856186.0
2118700067,2018.0,59264213.0,658635.0,565601.0
2118700067,2018.0,59264213.0,658635.0,565601.0
2118700067,2017.0,35184694.0,403649.0,351941.0
2118700067,2017.0,35184694.0,403649.0,351941.0
1108100070,2019.0,2485146.0,127806.0,75518.0
1108100070,2018.0,2668000.0,98000.0,63000.0
1108100070,2017.0,3026000.0,13000.0,35000.0
2248100077,2020.0,3102419.0,311414.0,333398.0
2248100077,2019.0,1916841.0,433250.0,450818.0
2248100077,2018.0,1625110.0,223069.0,224944.0
2248100077,2017.0,1931745.0,140772.0,136703.0
2248100078,2020.0,694929.0,-28088.0,-11220.0
2248100078,2019.0,1409613.0,65513.0,79534.0
1078800081,2020.0,2538132.0,427282.0,398851.0
1078800081,2019.0,1671963.0,271637.0,258962.0
1078800081,2018.0,2055543.0,249488.0,216548.0
1078800081,2017.0,1441963.0,295500.0,282872.0
2098100082,2020.0,1557456589.0,302969768.0,364032718.0
2098100082,2020.0,1557456589.0,302969768.0,364032718.0
2098100082,2019.0,1131587211.0,122329339.0,128535006.0
2098100082,2019.0,1131587211.0,122329339.0,128535006.0
2098100082,2018.0,819142997.0,71229036.0,108633126.0
2098100082,2018.0,819142997.0,71229036.0,108633126.0
2098100082,2017.0,856738968.0,146787192.0,131022290.0
2098100082,2017.0,856738968.0,146787192.0,131022290.0
1108600083,2020.0,456204.0,-119172.0,-95651.0
1108600083,2019.0,884247.0,437.0,37740.0
1108600083,2018.0,1113805.0,-230578.0,-207466.0
1108600083,2017.0,986296.0,-463747.0,-468821.0
1358100084,2020.0,7726461.0,1277621.0,1181883.0
1358100084,2019.0,4965330.0,122165.0,140984.0
1358100084,2018.0,6438974.0,78865.0,215326.0
1358100084,2018.0,6438974.0,78865.0,215326.0
1358100084,2017.0,5499842.0,63653.0,67126.0
1268600088,2019.0,244306.0,28548.0,5090.0
1268600088,2018.0,580325.0,101323.0,77210.0
1268600088,2017.0,606676.0,127061.0,97954.0
1358100089,2020.0,28335609.0,1254178.0,846727.0
1358100089,2020.0,28335609.0,1254178.0,846727.0
1358100089,2019.0,25463616.0,753218.0,412676.0
1358100089,2019.0,25463616.0,753218.0,412676.0
1358100089,2018.0,19849438.0,386377.0,74268.0
1358100089,2018.0,19849438.0,386377.0,74268.0
1358100089,2017.0,15359635.0,1033266.0,769566.0
1358100089,2017.0,15359635.0,1033266.0,769566.0
2138600091,2016.0,15487829.0,4695650.0,4342185.0
2138600091,2017.0,25389167.0,7397889.0,8154376.0
2138600091,2018.0,23700642.0,9259076.0,9264338.0
2138600091,2019.0,19795485.0,4486355.0,4511444.0
2138600091,2020.0,16139471.0,3136441.0,4122079.0
6318100095,2019.0,31818.0,-214262.0,-1222106.0
1018100096,2020.0,281815417.0,10666093.0,18495774.0
1018100096,2020.0,281815417.0,10666093.0,18495774.0
1018100096,2019.0,264191602.0,2886887.0,4652488.0
1018100096,2018.0,67229262.0,-4688956.0,-4953130.0
1018100096,2017.0,54239164.0,2879493.0,1654145.0
6808100097,2016.0,588873.0,53159.0,48664.0
6808100097,2017.0,1122555.0,-912574.0,-932128.0
6808100097,2018.0,1827566.0,-783386.0,-791425.0
6808100097,2019.0,2186000.0,-1115000.0,-1100000.0
6808100097,2020.0,1570254.0,-1685452.0,-1686501.0
2048100098,2020.0,152369807.0,1946509.0,-624727.0
2048100098,2020.0,152369807.0,1946509.0,-624727.0
