대분류코드,사업자등록번호,순번,특허명칭,IPC코드내용,출원인명,출원번호,특허명,출원날짜,CPC번호,인용수,피인용수,발명자수,청구항수
J,5998600578,2,스마트기기를 이용한 악기 관리 서비스 제공 시스템,G08B-021/18,얄라팩토리 주***,1020170174719,,,,0.0,0.0,0.0,0.0
J,3018100579,2,소방안전 관리 시스템,G08B-025/10,주디엘정***,1020170078816,소방안전 관리 시스템,20170621.0,G06Q50/10,0.0,0.0,1.0,5.0
J,2148600581,2,인공지능에 기반한 온라인 교육 지원을 위한 출석관리 및 집중도 분석 방법 및 장치 ,H04N-021/442,한국전자인증 주***,1020210020001,,,,0.0,0.0,0.0,0.0
J,3258700582,2,"절전량 관리장치, 관리서버 및 관리시스템",G06F-001/32,주식회사 인지네***,1020190060094,,,,0.0,0.0,0.0,0.0
F,1218600584,2,사이클론을 이용한 분산형 피뢰침,H02G-013/00,주식회사 씨에스포***,1020160119215,,,,0.0,0.0,0.0,0.0
C,1208600586,2,소결제품 제조시 첨가되는 복합 황화망간 조성물 ,B22F-001/00,대영소결금속 주***,1020210053418,소결제품 제조시 첨가되는 복합 황화망간 조성물,20210426.0,C22C29/005,1.0,0.0,1.0,1.0
M,2018100587,2,"한국인의 비만 또는 비만 관련 질환의 위험 예측용 다형성 마커, 이를 이용한 한국인의 비만 또는 비만 관련 질환의 위험 예측 방법",C12Q-001/68,주식회사 에스엔피 제***,1020180000666,,,,0.0,0.0,0.0,0.0
J,1028100591,2,시장심리지수 전시방법 및 이를 이용한 온라인 주식거래 서비스 시스템,G06Q-040/06,주뉴**,1020170121567,,,,0.0,0.0,0.0,0.0
J,3148100597,2,비 접촉식 카드 다중 프로토콜 통합 관리 알에프아이디 시스템 ,G06K-017/00,주식회사 메***,1020120092184,,,,0.0,0.0,0.0,0.0
J,1058100598,2,댁내 전기 에너지 절감을 위한 스마트 컨슈머 서비스 시스템 및 그 방법,G06Q-050/06,주산들네***,1020150106854,,,,0.0,0.0,0.0,0.0
F,5090800600,1,시드 분배 시스템을 위한 광전 센서,A01C-007/20,티에스아이 인코포레***,1020227030773,,,,0.0,0.0,0.0,0.0
J,3768700602,2,패턴 형상의 전극이 배치된 마스크팩형 피부 미용 기기,A61N-001/32,주식회사 어거***,1020160128624,,,,0.0,0.0,0.0,0.0
J,1138600604,2,이웃하는 움직임 벡터를 이용한 가이디드 탐색방법,H04N-007/36,주식회사 이지***,1020020065173,이웃하는 움직임 벡터를 이용한 가이디드 탐색방법,20021024.0,H04N19/40,0.0,0.0,1.0,7.0
M,1058700605,2,액션웹툰의 아카이브 저장방법,G06Q-050/10,하트미***,1020170175025,액션웹툰의 아카이브 저장방법,20171219.0,G06F16/958,3.0,0.0,1.0,3.0
J,2468100610,2,채용 공고 자동 생성 방법,G06Q-010/06,주식회사***,1020190132730,,,,0.0,0.0,0.0,0.0
F,4938600611,2,조명이 융합된 휴대용 스피커 장치,H04R-001/02,라온시***,1020140156548,,,,0.0,0.0,0.0,0.0
J,1958100617,2,VR 콘텐츠 연동 홈 트레이닝 장치,A63B-071/06,주식회사 유니***,1020190151163,,,,0.0,0.0,0.0,0.0
